4;a piacere;
1;dorso;
1;rana;
1;stile;
r;30;
1;dorso;
1;rana;
1;stile;
r;30;
1;dorso;
1;rana;
1;stile;
r;30;
1;dorso;
1;rana;
1;stile;
r;30;
1;dorso;
1;rana;
1;stile;
r;30;
1;dorso;
1;rana;
1;stile;
r;30;
1;delfino;vel max
1;delfino;vel med
r;20;
1;dorso;vel max
1;dorso;vel med
r;20;
1;rana;vel max
1;rana;vel med
r;20;
1;stile;vel max
1;stile;vel med
r;20;
4;a piacere;
1;delfino;
1;rana;
r;30;
1;delfino;
1;rana;
r;30;
1;delfino;
1;rana;
r;30;
1;delfino;
1;rana;
r;30;
16;stile;
r;40;
8;dorso;
r;30;
4;a piacere;
70;;
